IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-08-27,15:22:41 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-27,15:35:55 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-27,19:11:46 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-27,19:27:38 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,02:20:34 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,02:35:06 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,04:00:40 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,04:11:13 UTC,["necessary"],desktop,en,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,05:47:18 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,06:43:09 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,06:44:51 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,07:14:28 UTC,["necessary"],desktop,en,Firefox,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,10:12:07 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,10:31:54 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,11:00:42 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,13:12:36 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,13:17:50 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,13:36:30 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,13:53:23 UTC,["necessary"],desktop,pt,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,16:17:23 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,18:00:27 UTC,["necessary"],desktop,de,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,18:12:33 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
